Name,Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Email,Phone Number,proper()
 grace ,25,50000,Male,HR,Manager,"April 5, 2018",D,email@example.com,nan, Grace 
 david ,nan,65000,Female,Finance,Director,20-02-2020,F,user@domain.com,123-456-7890, David 
 hannah ,35,SIXTY THOUSAND,Female,Sales,Director,01/15/2020,C,email@example.com,098-765-4321, Hannah 
 eve ,nan,50000,Female,IT,Manager,"April 5, 2018",A,name@company.org, , Eve 
 grace ,nan, NAN ,Female,Finance,Manager,01/15/2020,F,name@company.org,098-765-4321, Grace 
 jack ,nan,65000,Other,Marketing,Director,03-25-2019,F,user@domain.com,nan, Jack 
 charlie ,nan,50000,Male,Marketing,Clerk,2019.12.01,B,,123-456-7890, Charlie 
 grace ,40,50000,Other,HR,Director,03-25-2019,C,, , Grace 
 hannah ,40,SIXTY THOUSAND,Female,Marketing,Manager,01/15/2020,C,user@domain.com,123-456-7890, Hannah 
 eve ,thirty, NAN ,Other,Finance,Assistant,20-02-2020,A,, , Eve 
 david ,25,70000,Male,Marketing,Analyst,2019.12.01,B,nan,123-456-7890, David 
 hannah ,nan,70000,Other,Finance,Assistant,03-25-2019,A,,nan, Hannah 
 hannah ,thirty,50000,Male,IT,Assistant,"April 5, 2018",D,, , Hannah 
 charlie ,25,55000,Other,HR,Manager,20-02-2020,F,,555-555-5555, Charlie 
 frank ,50, NAN ,Male,Marketing,Director,03-25-2019,A,nan,123-456-7890, Frank 
 eve ,35,65000,Male,Finance,Clerk,"April 5, 2018",F,,123-456-7890, Eve 
 bob ,40,55000,Female,Sales,Assistant,01/15/2020,B,nan,098-765-4321, Bob 
 hannah ,50,55000,Male,HR,Director,"April 5, 2018",D,user@domain.com, , Hannah 
 frank ,25, NAN ,Female,IT,Clerk,03-25-2019,B,email@example.com,555-555-5555, Frank 
 bob ,50,50000,Female,Finance,Assistant,03-25-2019,D,user@domain.com,nan, Bob 
 eve ,35,50000,Female,IT,Clerk,01/15/2020,D,email@example.com,098-765-4321, Eve 
 alice ,25,50000,Other,IT,Director,"April 5, 2018",F,user@domain.com,555-555-5555, Alice 
 jack ,50,50000,Other,Marketing,Analyst,"April 5, 2018",B,email@example.com, , Jack 
 frank ,40,70000,Other,Marketing,Director,01/15/2020,B,email@example.com,555-555-5555, Frank 
 ivy ,40,50000,Other,Finance,Manager,"April 5, 2018",A,name@company.org,123-456-7890, Ivy 
 alice ,thirty,70000,Male,Sales,Clerk,01/15/2020,B,email@example.com,123-456-7890, Alice 
 jack ,50,70000,Male,Finance,Analyst,20-02-2020,A,email@example.com,098-765-4321, Jack 
 charlie ,nan,50000,Other,Sales,Clerk,03-25-2019,C,name@company.org, , Charlie 
 grace ,50,SIXTY THOUSAND,Male,IT,Clerk,20-02-2020,C,, , Grace 
 david ,25,65000,Male,HR,Assistant,2019.12.01,C,,555-555-5555, David 
 ivy ,25,55000,Female,Finance,Manager,2019.12.01,B,name@company.org,098-765-4321, Ivy 
 charlie ,50,70000,Female,Finance,Clerk,2019.12.01,B,nan, , Charlie 
 eve ,35, NAN ,Female,Sales,Director,01/15/2020,A,email@example.com,123-456-7890, Eve 
 charlie ,40, NAN ,Female,IT,Director,"April 5, 2018",D,email@example.com,555-555-5555, Charlie 
 grace ,25,65000,Male,IT,Assistant,20-02-2020,A,name@company.org,nan, Grace 
 eve ,40, NAN ,Other,Sales,Manager,20-02-2020,C,name@company.org,123-456-7890, Eve 
 ivy ,25,SIXTY THOUSAND,Male,IT,Manager,20-02-2020,A,nan,098-765-4321, Ivy 
 grace ,thirty, NAN ,Male,Marketing,Director,20-02-2020,D,, , Grace 
 bob ,nan,55000,Male,HR,Analyst,2019.12.01,B,user@domain.com,123-456-7890, Bob 
 david ,25,55000,Female,Finance,Assistant,20-02-2020,A,,nan, David 
 ivy ,40,70000,Female,HR,Assistant,"April 5, 2018",C,email@example.com,nan, Ivy 
 bob ,thirty,50000,Female,Finance,Director,2019.12.01,C,name@company.org,098-765-4321, Bob 
 jack ,25,SIXTY THOUSAND,Other,Marketing,Director,20-02-2020,B,nan,123-456-7890, Jack 
 ivy ,35,70000,Male,IT,Analyst,01/15/2020,A,,555-555-5555, Ivy 
 jack ,nan,SIXTY THOUSAND,Other,Sales,Analyst,03-25-2019,D,nan,123-456-7890, Jack 
 eve ,25,50000,Female,Marketing,Manager,03-25-2019,B,,nan, Eve 
 bob ,thirty, NAN ,Other,HR,Assistant,03-25-2019,A,email@example.com,098-765-4321, Bob 
 david ,35, NAN ,Male,Sales,Assistant,2019.12.01,F,user@domain.com,098-765-4321, David 
 grace ,50,50000,Male,IT,Director,20-02-2020,C,nan,555-555-5555, Grace 
 hannah ,thirty,70000,Female,Marketing,Manager,2019.12.01,D,nan,098-765-4321, Hannah 
 charlie ,thirty,50000,Female,Sales,Assistant,"April 5, 2018",D,user@domain.com,098-765-4321, Charlie 
 alice ,35,65000,Other,Marketing,Manager,01/15/2020,D,nan,098-765-4321, Alice 
 david ,thirty,55000,Female,Marketing,Manager,01/15/2020,C,nan,098-765-4321, David 
 bob ,35,70000,Female,IT,Director,03-25-2019,A,,098-765-4321, Bob 
 hannah ,25,SIXTY THOUSAND,Male,Finance,Manager,03-25-2019,B,,nan, Hannah 
 david ,35,65000,Female,Sales,Analyst,03-25-2019,A,user@domain.com,123-456-7890, David 
 bob ,35,70000,Female,IT,Analyst,20-02-2020,B,email@example.com, , Bob 
